Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-03-12,1822.2317968982,1796.4673269041,1847.3304971959,1726.6915316775
ETH,2021-03-13,1762.2335996562,1827.1797830198,1842.4749540088,1722.7581916294
ETH,2021-03-14,1905.9466708556,1766.6939512109,1936.3226212135,1729.183153458
ETH,2021-03-15,1880.7561142354,1914.8152993398,1924.5684851409,1835.9954149997
ETH,2021-03-16,1789.8440534586,1847.4205702922,1889.7473530839,1737.1588370573
ETH,2021-03-17,1797.8202646051,1795.3613351698,1820.0390641219,1715.664835819
ETH,2021-03-18,1815.7424004952,1805.4800666668,1835.4145162334,1743.7056692341
ETH,2021-03-19,1790.5287290004,1822.4018270872,1849.8263246317,1760.9381574755
ETH,2021-03-20,1819.5551488499,1776.6476675714,1841.0175597539,1735.7254247616
ETH,2021-03-21,1833.745116795,1811.9385661454,1870.0847110358,1803.8837767076
ETH,2021-03-22,1798.8897051251,1807.3548009625,1818.7724844345,1750.7809907775
ETH,2021-03-23,1684.4615704989,1784.119386526,1806.5598574913,1658.9249628257
ETH,2021-03-24,1677.3997094293,1682.9827177716,1722.2969340566,1653.2294126508
ETH,2021-03-25,1592.2323707381,1669.1645595169,1740.5798760258,1548.0577709089
ETH,2021-03-26,1598.2561459368,1583.3947384826,1621.5965348485,1550.2956860288
ETH,2021-03-27,1681.9055387468,1587.2344153964,1696.3262684098,1587.1630837738
ETH,2021-03-28,1722.4718612491,1700.0813899588,1732.3303222895,1669.8251098334
ETH,2021-03-29,1676.3570868781,1713.3386238371,1725.7278299536,1662.9488340658
ETH,2021-03-30,1809.0688833594,1687.1789610226,1839.8005568881,1678.1089319959
ETH,2021-03-31,1841.7557639612,1816.2410826747,1860.0217366209,1787.3647868596
ETH,2021-04-01,1913.851918614,1842.699974292,1947.3556376949,1773.1823380941
ETH,2021-04-02,1968.1667128324,1919.1623035077,1983.4506630735,1888.6410474088
ETH,2021-04-03,2096.5905056962,1968.074621212,2102.1718121175,1950.0066632197
ETH,2021-04-04,2036.7518967658,2133.6128896764,2137.402747669,2004.6928828906
ETH,2021-04-05,2067.5147852089,2011.488248889,2093.7689477643,1983.9925356363
ETH,2021-04-06,2114.1439392315,2076.9769703868,2129.8714520031,2005.4618616129
ETH,2021-04-07,2117.5958108286,2107.4649993634,2151.2542487619,2045.3981058766
ETH,2021-04-08,2011.5504260806,2113.3742316348,2129.3914584458,1933.9071226333
ETH,2021-04-09,2069.660876338,1964.6033762581,2076.8113842204,1950.8914647371
ETH,2021-04-10,2070.601411041,2081.3857854027,2100.2333978021,2050.166955436
ETH,2021-04-11,2118.7059924048,2067.6584243107,2190.7092711711,2059.1617438466
ETH,2021-04-12,2137.0958672385,2133.3263675309,2164.1317975,2111.8299026016
ETH,2021-04-13,2144.4204637437,2151.4067715514,2199.8678801696,2103.671604266
